Data/Hora;Chuva(mm);Nivel(cm);Vazao(m3/s);Bateria(V);TempInt(C)
24/10/2023 16:30;0.00;462.00;465.20;12.90;29.20
24/10/2023 16:15;0.00;462.00;465.20;12.90;29.20
24/10/2023 16:00;0.00;461.00;462.70;12.90;29.20
24/10/2023 15:45;0.00;462.00;465.20;12.90;29.20
24/10/2023 15:30;0.00;463.00;467.70;13.00;29.40
24/10/2023 15:15;0.00;462.00;465.20;13.00;29.40
24/10/2023 15:00;0.00;464.00;470.30;13.00;29.40
24/10/2023 14:45;0.00;463.00;467.70;13.00;29.40
24/10/2023 14:30;0.00;463.00;467.70;13.20;30.20
24/10/2023 14:15;0.00;463.00;467.70;13.20;30.20
24/10/2023 14:00;0.00;463.00;467.70;13.20;30.20
24/10/2023 13:45;0.00;463.00;467.70;13.20;30.20
24/10/2023 13:30;0.00;463.00;467.70;13.40;29.40
24/10/2023 13:15;0.00;463.00;467.70;13.40;29.40
24/10/2023 13:00;0.00;463.00;467.70;13.40;29.40
24/10/2023 12:45;0.00;464.00;470.30;13.40;29.40
24/10/2023 12:30;0.00;463.00;467.70;13.40;29.00
24/10/2023 12:15;0.00;464.00;470.30;13.40;29.00
24/10/2023 12:00;0.00;464.00;470.30;13.40;29.00
24/10/2023 11:45;0.00;464.00;470.30;13.40;29.00
24/10/2023 11:30;0.00;465.00;472.80;13.20;25.80
24/10/2023 11:15;0.00;465.00;472.80;13.20;25.80
24/10/2023 11:00;0.00;465.00;472.80;13.20;25.80
24/10/2023 10:45;0.00;466.00;475.40;13.20;25.80
24/10/2023 10:30;0.00;466.00;475.40;13.20;24.30
24/10/2023 10:15;0.00;466.00;475.40;13.20;24.30
24/10/2023 10:00;0.00;467.00;477.90;13.20;24.30
24/10/2023 09:45;0.00;467.00;477.90;13.20;24.30
24/10/2023 09:30;0.00;467.00;477.90;13.10;23.30
24/10/2023 09:15;0.00;467.00;477.90;13.10;23.30
24/10/2023 09:00;0.00;468.00;480.50;13.10;23.30
24/10/2023 08:45;0.00;468.00;480.50;13.10;23.30
24/10/2023 08:30;0.00;469.00;483.00;12.70;21.70
24/10/2023 08:15;0.00;470.00;485.60;12.70;21.70
24/10/2023 08:00;0.00;470.00;485.60;12.70;21.70
24/10/2023 07:45;0.00;471.00;488.20;12.70;21.70
24/10/2023 07:30;0.00;471.00;488.20;12.50;21.10
24/10/2023 07:15;0.00;472.00;490.70;12.50;21.10
24/10/2023 07:00;0.00;473.00;493.30;12.50;21.10
24/10/2023 06:45;0.00;473.00;493.30;12.50;21.10
24/10/2023 06:30;0.00;474.00;495.90;12.50;21.10
24/10/2023 06:15;0.00;474.00;495.90;12.50;21.10
24/10/2023 06:00;0.00;475.00;498.50;12.50;21.10
24/10/2023 05:45;0.00;475.00;498.50;12.50;21.10
24/10/2023 05:30;0.00;475.00;498.50;12.50;21.10
24/10/2023 05:15;0.00;475.00;498.50;12.50;21.10
24/10/2023 05:00;0.00;476.00;501.10;12.50;21.10
24/10/2023 04:45;0.00;476.00;501.10;12.50;21.10
24/10/2023 04:30;0.00;476.00;501.10;12.50;21.10
24/10/2023 04:15;0.00;476.00;501.10;12.50;21.10
24/10/2023 04:00;0.00;476.00;501.10;12.50;21.10
24/10/2023 03:45;0.00;476.00;501.10;12.50;21.10
24/10/2023 03:30;0.00;475.00;498.50;12.50;20.90
24/10/2023 03:15;0.00;475.00;498.50;12.50;20.90
24/10/2023 03:00;0.00;475.00;498.50;12.50;20.90
24/10/2023 02:45;0.00;474.00;495.90;12.50;20.90
24/10/2023 02:30;0.00;474.00;495.90;12.50;20.90
24/10/2023 02:15;0.00;474.00;495.90;12.50;20.90
24/10/2023 02:00;0.00;474.00;495.90;12.50;20.90
24/10/2023 01:45;0.00;474.00;495.90;12.50;20.90
24/10/2023 01:30;0.00;475.00;498.50;12.60;21.00
24/10/2023 01:15;0.00;474.00;495.90;12.60;21.00
24/10/2023 01:00;0.00;474.00;495.90;12.60;21.00
24/10/2023 00:45;0.00;475.00;498.50;12.60;21.00
24/10/2023 00:30;0.00;475.00;498.50;12.50;21.00
24/10/2023 00:15;0.00;475.00;498.50;12.50;21.00
24/10/2023 00:00;0.00;476.00;501.10;12.50;21.00
23/10/2023 23:45;0.00;476.00;501.10;12.50;21.00
23/10/2023 23:30;0.00;477.00;503.70;12.50;21.20
23/10/2023 23:15;0.00;476.00;501.10;12.50;21.20
23/10/2023 23:00;0.00;477.00;503.70;12.50;21.20
23/10/2023 22:45;0.00;477.00;503.70;12.50;21.20
23/10/2023 22:30;0.00;477.00;503.70;12.70;21.50
23/10/2023 22:15;0.00;478.00;506.30;12.70;21.50
23/10/2023 22:00;0.00;479.00;508.90;12.70;21.50
23/10/2023 21:45;0.00;480.00;511.50;12.70;21.50
23/10/2023 21:30;0.00;480.00;511.50;12.70;22.20
23/10/2023 21:15;0.00;480.00;511.50;12.70;22.20
23/10/2023 21:00;0.00;481.00;514.10;12.70;22.20
23/10/2023 20:45;0.00;482.00;516.80;12.70;22.20
23/10/2023 20:30;0.00;483.00;519.40;12.70;22.90
23/10/2023 20:15;0.00;483.00;519.40;12.70;22.90
23/10/2023 20:00;0.00;483.00;519.40;12.70;22.90
23/10/2023 19:45;0.00;483.00;519.40;12.70;22.90
23/10/2023 19:30;0.00;482.00;516.80;12.70;23.40
23/10/2023 19:15;0.00;482.00;516.80;12.70;23.40
23/10/2023 19:00;0.00;481.00;514.10;12.70;23.40
23/10/2023 18:45;0.00;480.00;511.50;12.70;23.40
23/10/2023 18:30;0.00;479.00;508.90;12.80;24.50
23/10/2023 18:15;0.00;478.00;506.30;12.80;24.50
23/10/2023 18:00;0.00;478.00;506.30;12.80;24.50
23/10/2023 17:45;0.00;477.00;503.70;12.80;24.50
23/10/2023 17:30;0.00;478.00;506.30;12.90;25.90
23/10/2023 17:15;0.00;479.00;508.90;12.90;25.90
23/10/2023 17:00;0.00;480.00;511.50;12.90;25.90
23/10/2023 16:45;0.00;482.00;516.80;12.90;25.90
23/10/2023 16:30;0.00;483.00;519.40;13.00;26.70
23/10/2023 16:15;0.00;484.00;522.00;13.00;26.70
23/10/2023 16:00;0.00;484.00;522.00;13.00;26.70
23/10/2023 15:45;0.00;484.00;522.00;13.00;26.70
23/10/2023 15:30;0.00;485.00;524.70;13.00;26.30
23/10/2023 15:15;0.00;485.00;524.70;13.00;26.30
23/10/2023 15:00;0.00;485.00;524.70;13.00;26.30
23/10/2023 14:45;0.00;487.00;530.00;13.00;26.30
23/10/2023 14:30;0.00;486.00;527.30;13.00;25.30
23/10/2023 14:15;0.00;487.00;530.00;13.00;25.30
23/10/2023 14:00;0.00;487.00;530.00;13.00;25.30
23/10/2023 13:45;;;;13.00;25.30
23/10/2023 13:30;0.00;489.00;535.30;13.00;25.20
23/10/2023 13:15;0.00;489.00;535.30;13.00;25.20
23/10/2023 13:00;0.00;489.00;535.30;13.00;25.20
23/10/2023 12:45;0.00;490.00;538.00;13.00;25.20
23/10/2023 12:30;0.00;490.00;538.00;13.10;23.70
23/10/2023 12:15;0.00;491.00;540.60;13.10;23.70
23/10/2023 12:00;0.00;491.00;540.60;13.10;23.70
23/10/2023 11:45;0.00;492.00;543.30;13.10;23.70
23/10/2023 11:30;0.00;491.00;540.60;13.00;22.80
23/10/2023 11:15;0.00;492.00;543.30;13.00;22.80
23/10/2023 11:00;0.00;493.00;546.00;13.00;22.80
23/10/2023 10:45;0.00;493.00;546.00;13.00;22.80
23/10/2023 10:30;0.00;494.00;548.70;13.00;22.60
23/10/2023 10:15;0.20;494.00;548.70;13.00;22.60
23/10/2023 10:00;0.00;493.00;546.00;13.00;22.60
23/10/2023 09:45;0.20;494.00;548.70;13.00;22.60
23/10/2023 09:30;0.00;495.00;551.40;13.00;22.40
23/10/2023 09:15;0.00;496.00;554.10;13.00;22.40
23/10/2023 09:00;0.00;496.00;554.10;13.00;22.40
23/10/2023 08:45;0.00;496.00;554.10;13.00;22.40
23/10/2023 08:30;0.00;496.00;554.10;13.00;21.60
23/10/2023 08:15;0.00;497.00;556.80;13.00;21.60
23/10/2023 08:00;0.00;497.00;556.80;13.00;21.60
23/10/2023 07:45;0.00;498.00;559.50;13.00;21.60
23/10/2023 07:30;0.00;498.00;559.50;12.50;20.40
23/10/2023 07:15;0.00;499.00;562.20;12.50;20.40
23/10/2023 07:00;0.00;499.00;562.20;12.50;20.40
23/10/2023 06:45;0.00;500.00;564.90;12.50;20.40
23/10/2023 06:30;0.00;500.00;564.90;12.50;20.20
23/10/2023 06:15;0.00;501.00;567.60;12.50;20.20
23/10/2023 06:00;0.00;501.00;567.60;12.50;20.20
23/10/2023 05:45;0.00;502.00;570.40;12.50;20.20
23/10/2023 05:30;0.00;502.00;570.40;12.50;20.20
23/10/2023 05:15;0.00;502.00;570.40;12.50;20.20
23/10/2023 05:00;0.00;502.00;570.40;12.50;20.20
23/10/2023 04:45;0.00;503.00;573.10;12.50;20.20
23/10/2023 04:30;;503.00;573.10;12.50;20.30
23/10/2023 04:15;;503.00;573.10;12.50;20.30
23/10/2023 04:00;;504.00;575.80;12.50;20.30
23/10/2023 03:45;;504.00;575.80;12.50;20.30
23/10/2023 03:30;;505.00;578.60;12.50;20.80
23/10/2023 03:15;;505.00;578.60;12.50;20.80
23/10/2023 03:00;;505.00;578.60;12.50;20.80
23/10/2023 02:45;;505.00;578.60;12.50;20.80
23/10/2023 02:30;;505.00;578.60;12.50;21.20
23/10/2023 02:15;;507.00;584.10;12.50;21.20
23/10/2023 02:00;;507.00;584.10;12.50;21.20
23/10/2023 01:45;;506.00;581.30;12.50;21.20
23/10/2023 01:30;;507.00;584.10;12.50;21.40
23/10/2023 01:15;;507.00;584.10;12.50;21.40
23/10/2023 01:00;;508.00;586.80;12.50;21.40
23/10/2023 00:45;;508.00;586.80;12.50;21.40
23/10/2023 00:30;;508.00;586.80;12.60;21.90
23/10/2023 00:15;;508.00;586.80;12.60;21.90
23/10/2023 00:00;;508.00;586.80;12.60;21.90
22/10/2023 23:45;;510.00;592.40;12.60;21.90
22/10/2023 23:30;;510.00;592.40;12.60;22.70
22/10/2023 23:15;;510.00;592.40;12.60;22.70
22/10/2023 23:00;;510.00;592.40;12.60;22.70
22/10/2023 22:45;;510.00;592.40;12.60;22.70
22/10/2023 22:30;;511.00;595.10;12.70;23.30
22/10/2023 22:15;;511.00;595.10;12.70;23.30
22/10/2023 22:00;;511.00;595.10;12.70;23.30
22/10/2023 21:45;;511.00;595.10;12.70;23.30
22/10/2023 21:30;;513.00;600.70;12.70;24.20
22/10/2023 21:15;;513.00;600.70;12.70;24.20
22/10/2023 21:00;;514.00;603.50;12.70;24.20
22/10/2023 20:45;;513.00;600.70;12.70;24.20
22/10/2023 20:30;;513.00;600.70;12.70;25.30
22/10/2023 20:15;;514.00;603.50;12.70;25.30
22/10/2023 20:00;;515.00;606.30;12.70;25.30
22/10/2023 19:45;;515.00;606.30;12.70;25.30
22/10/2023 19:30;;515.00;606.30;12.70;26.40
22/10/2023 19:15;;516.00;609.10;12.70;26.40
22/10/2023 19:00;;517.00;611.90;12.70;26.40
22/10/2023 18:45;;517.00;611.90;12.70;26.40
22/10/2023 18:30;;518.00;614.70;12.80;27.50
22/10/2023 18:15;;518.00;614.70;12.80;27.50
22/10/2023 18:00;;517.00;611.90;12.80;27.50
22/10/2023 17:45;;518.00;614.70;12.80;27.50
22/10/2023 17:30;;520.00;620.30;12.90;29.80
22/10/2023 17:15;;520.00;620.30;12.90;29.80
22/10/2023 17:00;;519.00;617.50;12.90;29.80
22/10/2023 16:45;;521.00;623.10;12.90;29.80
22/10/2023 16:30;;520.00;620.30;12.90;33.20
22/10/2023 16:15;;520.00;620.30;12.90;33.20
22/10/2023 16:00;;521.00;623.10;12.90;33.20
22/10/2023 15:45;;;;12.90;33.20
25/09/2023 22:30;0.00;807.00;1614.50;12.60;17.60
25/09/2023 22:15;0.00;803.00;1598.30;12.60;17.60
25/09/2023 22:00;0.00;798.00;1578.10;12.60;17.60
25/09/2023 21:45;0.00;793.00;1558.00;12.60;17.60
25/09/2023 21:30;0.00;788.00;1538.10;12.70;17.70
25/09/2023 21:15;0.00;784.00;1522.10;12.70;17.70
25/09/2023 21:00;0.00;778.00;1498.40;12.70;17.70
25/09/2023 20:45;0.00;774.00;1482.60;12.70;17.70
25/09/2023 20:30;0.00;768.00;1459.10;12.70;17.80
25/09/2023 20:15;0.00;768.00;1459.10;12.70;17.80
25/09/2023 20:00;0.00;764.00;1443.50;12.70;17.80
25/09/2023 19:45;0.00;761.00;1431.80;12.70;17.80
25/09/2023 19:30;0.00;758.00;1420.20;12.70;18.10
25/09/2023 19:15;0.00;757.00;1416.30;12.70;18.10
25/09/2023 19:00;0.00;758.00;1420.20;12.70;18.10
25/09/2023 18:45;0.00;758.00;1420.20;12.70;18.10
25/09/2023 18:30;0.00;755.00;1408.60;13.00;18.40
25/09/2023 18:15;0.00;751.00;1393.20;13.00;18.40
25/09/2023 18:00;0.00;751.00;1393.20;13.00;18.40
25/09/2023 17:45;0.00;751.00;1393.20;13.00;18.40
25/09/2023 17:30;0.00;746.00;1374.10;13.10;18.20
25/09/2023 17:15;0.00;745.00;1370.20;13.10;18.20
25/09/2023 17:00;0.00;743.00;1362.60;13.10;18.20
25/09/2023 16:45;0.00;740.00;1351.20;13.10;18.20
25/09/2023 16:30;0.00;736.00;1336.10;12.90;17.90
25/09/2023 16:15;0.20;732.00;1321.00;12.90;17.90
25/09/2023 16:00;0.00;728.00;1306.00;12.90;17.90
25/09/2023 15:45;0.00;724.00;1291.00;12.90;17.90
25/09/2023 15:30;0.00;719.00;1272.40;12.90;18.10
25/09/2023 15:15;0.40;714.00;1253.90;12.90;18.10
25/09/2023 15:00;0.60;708.00;1231.90;12.90;18.10
25/09/2023 14:45;0.60;704.00;1217.20;12.90;18.10
25/09/2023 14:30;0.60;698.00;1195.40;13.00;18.40
25/09/2023 14:15;0.40;694.00;1181.00;13.00;18.40
25/09/2023 14:00;0.60;688.00;1159.40;13.00;18.40
25/09/2023 13:45;0.20;687.00;1155.80;13.00;18.40
25/09/2023 13:30;0.20;684.00;1145.10;13.10;18.30
25/09/2023 13:15;0.20;679.00;1127.40;13.10;18.30
25/09/2023 13:00;0.00;677.00;1120.30;13.10;18.30
25/09/2023 12:45;0.20;672.00;1102.70;13.10;18.30
25/09/2023 12:30;0.00;671.00;1099.20;13.10;17.80
25/09/2023 12:15;0.00;668.00;1088.70;13.10;17.80
