Data/Hora;Chuva Hor ria (mm);N¡vel adotado (cm);VazÆo (mü/s);Bateria (V);Temp. Interna (§C)
24/10/2023 15:00;0.00;215.00;204.60;13.70;27.50
24/10/2023 14:45;0.00;216.00;208.00;13.70;27.50
24/10/2023 14:30;0.00;216.00;208.00;13.70;27.50
24/10/2023 14:15;0.00;216.00;208.00;13.90;27.20
24/10/2023 14:00;0.00;217.00;211.60;13.90;27.20
24/10/2023 13:45;0.00;217.00;211.60;13.90;27.20
24/10/2023 13:30;0.00;217.00;211.60;13.90;27.20
24/10/2023 13:15;0.00;218.00;215.10;13.60;26.60
24/10/2023 13:00;0.00;218.00;215.10;13.60;26.60
24/10/2023 12:45;0.00;219.00;218.70;13.60;26.60
24/10/2023 12:30;0.00;219.00;218.70;13.60;26.60
24/10/2023 12:15;0.00;219.00;218.70;13.90;27.00
24/10/2023 12:00;0.00;220.00;222.20;13.90;27.00
24/10/2023 11:45;0.00;220.00;222.20;13.90;27.00
24/10/2023 11:30;0.00;219.00;218.70;13.90;27.00
24/10/2023 11:15;0.00;220.00;222.20;13.90;25.90
24/10/2023 11:00;0.00;220.00;222.20;13.90;25.90
24/10/2023 10:45;0.00;220.00;222.20;13.90;25.90
24/10/2023 10:30;0.00;219.00;218.70;13.90;25.90
24/10/2023 10:15;0.00;220.00;222.20;13.90;24.20
24/10/2023 10:00;0.00;220.00;222.20;13.90;24.20
24/10/2023 09:45;0.00;219.00;218.70;13.90;24.20
24/10/2023 09:30;0.00;220.00;222.20;13.90;24.20
24/10/2023 09:15;0.00;220.00;222.20;14.00;22.90
24/10/2023 09:00;0.00;219.00;218.70;14.00;22.90
24/10/2023 08:45;0.00;219.00;218.70;14.00;22.90
24/10/2023 08:30;0.00;219.00;218.70;14.00;22.90
24/10/2023 08:15;0.00;219.00;218.70;13.30;21.60
24/10/2023 08:00;0.00;219.00;218.70;13.30;21.60
24/10/2023 07:45;0.00;219.00;218.70;13.30;21.60
24/10/2023 07:30;0.00;219.00;218.70;13.30;21.60
24/10/2023 07:15;0.00;219.00;218.70;12.60;21.10
24/10/2023 07:00;0.00;220.00;222.20;12.60;21.10
24/10/2023 06:45;0.00;220.00;222.20;12.60;21.10
24/10/2023 06:30;0.00;220.00;222.20;12.60;21.10
24/10/2023 06:15;0.00;220.00;222.20;12.60;21.10
24/10/2023 06:00;0.00;220.00;222.20;12.60;21.10
24/10/2023 05:45;0.00;221.00;225.90;12.60;21.10
24/10/2023 05:30;0.00;221.00;225.90;12.60;21.10
24/10/2023 05:15;0.00;222.00;229.50;12.60;21.00
24/10/2023 05:00;0.00;222.00;229.50;12.60;21.00
24/10/2023 04:45;0.00;222.00;229.50;12.60;21.00
24/10/2023 04:30;0.00;222.00;229.50;12.60;21.00
24/10/2023 04:15;0.00;223.00;233.20;12.60;21.00
24/10/2023 04:00;0.00;223.00;233.20;12.60;21.00
24/10/2023 03:45;0.00;223.00;233.20;12.60;21.00
24/10/2023 03:30;0.00;223.00;233.20;12.60;21.00
24/10/2023 03:15;0.00;224.00;236.90;12.60;21.10
24/10/2023 03:00;0.00;224.00;236.90;12.60;21.10
24/10/2023 02:45;0.00;224.00;236.90;12.60;21.10
24/10/2023 02:30;0.00;224.00;236.90;12.60;21.10
24/10/2023 02:15;0.00;224.00;236.90;12.70;21.30
24/10/2023 02:00;0.00;224.00;236.90;12.70;21.30
24/10/2023 01:45;0.00;224.00;236.90;12.70;21.30
24/10/2023 01:30;0.00;224.00;236.90;12.70;21.30
24/10/2023 01:15;0.00;224.00;236.90;12.70;21.20
24/10/2023 01:00;0.00;223.00;233.20;12.70;21.20
24/10/2023 00:45;0.00;224.00;236.90;12.70;21.20
