Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
01/08/2023;00:00:00;0             ;331             ;176.4;
01/08/2023;00:15:00;0             ;329             ;172.8;
01/08/2023;00:30:00;0             ;328             ;171;
01/08/2023;00:45:00;0             ;327             ;169.3;
01/08/2023;01:00:00;0             ;326             ;167.5;
01/08/2023;01:15:00;0             ;325             ;165.7;
01/08/2023;01:30:00;0             ;323             ;162.2;
01/08/2023;01:45:00;0             ;319             ;155.3;
01/08/2023;02:00:00;0             ;314             ;146.8;
01/08/2023;02:15:00;0             ;310             ;140.2;
01/08/2023;02:30:00;0             ;305             ;132.1;
01/08/2023;02:45:00;0             ;301             ;125.8;
01/08/2023;03:00:00;0             ;298             ;121.1;
01/08/2023;03:15:00;0             ;295             ;116.5;
01/08/2023;03:30:00;0             ;293             ;113.5;
01/08/2023;03:45:00;0             ;291             ;110.5;
01/08/2023;04:00:00;0             ;289             ;107.5;
01/08/2023;04:15:00;0             ;288             ;106.1;
01/08/2023;04:30:00;0             ;287             ;104.6;
01/08/2023;04:45:00;0             ;286             ;103.2;
01/08/2023;05:00:00;0             ;286             ;103.2;
01/08/2023;05:15:00;0             ;285             ;101.7;
01/08/2023;05:30:00;0             ;285             ;101.7;
01/08/2023;05:45:00;0             ;284             ;100.3;
01/08/2023;06:00:00;0             ;284             ;100.3;
01/08/2023;06:15:00;0             ;284             ;100.3;
01/08/2023;06:30:00;0             ;285             ;101.7;
01/08/2023;06:45:00;0             ;284             ;100.3;
01/08/2023;07:00:00;0             ;285             ;101.7;
01/08/2023;07:15:00;0             ;285             ;101.7;
01/08/2023;07:30:00;0             ;285             ;101.7;
01/08/2023;07:45:00;0             ;285             ;101.7;
01/08/2023;08:00:00;0             ;285             ;101.7;
01/08/2023;08:15:00;0             ;285             ;101.7;
01/08/2023;08:30:00;0             ;285             ;101.7;
01/08/2023;08:45:00;0             ;285             ;101.7;
01/08/2023;09:00:00;0             ;285             ;101.7;
01/08/2023;09:15:00;0             ;286             ;103.2;
01/08/2023;09:30:00;0             ;286             ;103.2;
01/08/2023;09:45:00;0             ;286             ;103.2;
01/08/2023;10:00:00;0             ;286             ;103.2;
01/08/2023;10:15:00;0             ;286             ;103.2;
01/08/2023;10:30:00;0             ;286             ;103.2;
01/08/2023;10:45:00;0             ;286             ;103.2;
01/08/2023;11:00:00;0             ;287             ;104.6;
01/08/2023;11:15:00;0             ;286             ;103.2;
01/08/2023;11:30:00;0             ;286             ;103.2;
01/08/2023;11:45:00;0             ;286             ;103.2;
01/08/2023;12:00:00;0             ;286             ;103.2;
01/08/2023;12:15:00;0             ;286             ;103.2;
01/08/2023;12:30:00;0             ;286             ;103.2;
01/08/2023;12:45:00;0             ;286             ;103.2;
01/08/2023;13:00:00;0             ;287             ;104.6;
01/08/2023;13:15:00;0             ;287             ;104.6;
01/08/2023;13:30:00;0             ;286             ;103.2;
01/08/2023;13:45:00;0             ;288             ;106.1;
01/08/2023;14:00:00;0             ;292             ;112;
01/08/2023;14:15:00;0             ;299             ;122.6;
01/08/2023;14:30:00;0             ;307             ;135.3;
01/08/2023;14:45:00;0             ;315             ;148.5;
01/08/2023;15:00:00;0             ;322             ;160.5;
01/08/2023;15:15:00;0             ;327             ;169.3;
01/08/2023;15:30:00;0             ;332             ;178.2;
01/08/2023;15:45:00;0             ;336             ;185.6;
01/08/2023;16:00:00;0             ;339             ;191.1;
01/08/2023;16:15:00;0             ;340             ;193;
01/08/2023;16:30:00;0             ;342             ;196.8;
01/08/2023;16:45:00;0             ;342             ;196.8;
01/08/2023;17:00:00;0             ;344             ;200.6;
01/08/2023;17:15:00;0             ;344             ;200.6;
01/08/2023;17:30:00;0             ;344             ;200.6;
01/08/2023;17:45:00;0             ;345             ;202.5;
01/08/2023;18:00:00;0             ;345             ;202.5;
01/08/2023;18:15:00;0             ;345             ;202.5;
01/08/2023;18:30:00;0             ;345             ;202.5;
01/08/2023;18:45:00;0             ;346             ;204.4;
01/08/2023;19:00:00;0             ;346             ;204.4;
