Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
01/08/2023;00:00:00;0             ;208             ;219.1;
01/08/2023;00:15:00;0             ;208             ;219.1;
01/08/2023;00:30:00;0             ;208             ;219.1;
01/08/2023;00:45:00;0             ;207             ;216.9;
01/08/2023;01:00:00;0             ;207             ;216.9;
01/08/2023;01:15:00;0             ;207             ;216.9;
01/08/2023;01:30:00;0             ;207             ;216.9;
01/08/2023;01:45:00;0             ;206             ;214.6;
01/08/2023;02:00:00;0             ;206             ;214.6;
01/08/2023;02:15:00;0             ;206             ;214.6;
01/08/2023;02:30:00;0             ;205             ;212.4;
01/08/2023;02:45:00;0             ;205             ;212.4;
01/08/2023;03:00:00;0             ;204             ;210.2;
01/08/2023;03:15:00;0             ;204             ;210.2;
01/08/2023;03:30:00;0             ;204             ;210.2;
01/08/2023;03:45:00;0             ;203             ;208;
01/08/2023;04:00:00;0             ;203             ;208;
01/08/2023;04:15:00;0             ;202             ;205.8;
01/08/2023;04:30:00;0             ;201             ;203.7;
01/08/2023;04:45:00;0             ;201             ;203.7;
01/08/2023;05:00:00;0             ;200             ;201.5;
01/08/2023;05:15:00;0             ;199             ;199.3;
01/08/2023;05:30:00;0             ;199             ;199.3;
01/08/2023;05:45:00;0             ;198             ;197.2;
01/08/2023;06:00:00;0             ;197             ;195.1;
01/08/2023;06:15:00;0             ;197             ;195.1;
01/08/2023;06:30:00;0             ;196             ;192.9;
01/08/2023;06:45:00;0             ;195             ;190.8;
01/08/2023;07:00:00;0             ;194             ;188.7;
01/08/2023;07:15:00;0             ;193             ;186.7;
01/08/2023;07:30:00;0             ;192             ;184.6;
01/08/2023;07:45:00;0             ;191             ;182.5;
01/08/2023;08:00:00;0             ;189             ;178.4;
01/08/2023;08:15:00;0             ;188             ;176.4;
01/08/2023;08:30:00;0             ;187             ;174.4;
01/08/2023;08:45:00;0             ;185             ;170.4;
01/08/2023;09:00:00;0             ;184             ;168.4;
01/08/2023;09:15:00;0             ;182             ;164.5;
01/08/2023;09:30:00;0             ;180             ;160.6;
01/08/2023;09:45:00;0             ;179             ;158.7;
01/08/2023;10:00:00;0             ;177             ;154.8;
01/08/2023;10:15:00;0             ;175             ;151.1;
01/08/2023;10:30:00;0             ;173             ;147.3;
01/08/2023;10:45:00;0             ;172             ;145.5;
01/08/2023;11:00:00;0             ;170             ;141.8;
01/08/2023;11:15:00;0             ;168             ;138.2;
01/08/2023;11:30:00;0             ;167             ;136.4;
01/08/2023;11:45:00;0             ;165             ;132.9;
01/08/2023;12:00:00;0             ;164             ;131.1;
01/08/2023;12:15:00;0             ;163             ;129.4;
01/08/2023;12:30:00;0             ;162             ;127.6;
01/08/2023;12:45:00;0             ;160             ;124.2;
01/08/2023;13:00:00;0             ;160             ;124.2;
01/08/2023;13:15:00;0             ;159             ;122.5;
01/08/2023;13:30:00;0             ;158             ;120.8;
01/08/2023;13:45:00;0             ;157             ;119.1;
01/08/2023;14:00:00;0             ;157             ;119.1;
01/08/2023;14:15:00;0             ;156             ;117.4;
01/08/2023;14:30:00;0             ;156             ;117.4;
01/08/2023;14:45:00;0             ;156             ;117.4;
